4-hidroksifenilalanin	4 - hidroksifenilalanin	1	7	[ELEXIS - WSD - SL] Tirozin ali 4 - hidroksifenilalanin je ena od 20 aminokislin , ki jih celice potrebujejo za sintezo beljakovin .
54Fe	54Fe	1	12	[ELEXIS - WSD - SL] Naravno železo sestavljajo štirje stabilni izotopi : 54Fe ( 5 , 845 % ) , 56Fe ( 91 , 754 % ) , 57Fe ( 2 , 119 % ) in 58Fe ( 0 , 282 % ) , od katerih ima samo 57Fe spin ( −1⁄2 ) .
56Fe	56Fe	1	20	[ELEXIS - WSD - SL] Naravno železo sestavljajo štirje stabilni izotopi : 54Fe ( 5 , 845 % ) , 56Fe ( 91 , 754 % ) , 57Fe ( 2 , 119 % ) in 58Fe ( 0 , 282 % ) , od katerih ima samo 57Fe spin ( −1⁄2 ) .
57Fe	57Fe	1	28	[ELEXIS - WSD - SL] Naravno železo sestavljajo štirje stabilni izotopi : 54Fe ( 5 , 845 % ) , 56Fe ( 91 , 754 % ) , 57Fe ( 2 , 119 % ) in 58Fe ( 0 , 282 % ) , od katerih ima samo 57Fe spin ( −1⁄2 ) .
57Fe	57Fe	1	28	[ELEXIS - WSD - SL] Naravno železo sestavljajo štirje stabilni izotopi : 54Fe ( 5 , 845 % ) , 56Fe ( 91 , 754 % ) , 57Fe ( 2 , 119 % ) in 58Fe ( 0 , 282 % ) , od katerih ima samo 57Fe spin ( −1⁄2 ) .
58Fe	58Fe	1	36	[ELEXIS - WSD - SL] Naravno železo sestavljajo štirje stabilni izotopi : 54Fe ( 5 , 845 % ) , 56Fe ( 91 , 754 % ) , 57Fe ( 2 , 119 % ) in 58Fe ( 0 , 282 % ) , od katerih ima samo 57Fe spin ( −1⁄2 ) .
Adamov kostim	Adamovem kostimu	1	6	V gorskem jezercu so zaplavali v Adamovem kostimu , ko jih je presenetila skupina žensk , ki so se sprehajale ob jezeru .
Adamov kostum	Adamovem kostumu	1	8	Zdaj pa so se tri njegove fotografije v Adamovem kostumu pojavile na internetu .
Adamov kostum	Adamovem kostumu	1	8	Odvrgla sva brisači ter se v Evinem in Adamovem kostumu prižela eden k drugemu .
Adenski zaliv	Adenskega zaliva	1	19	[ELEXIS - WSD - SL] Povezava z oceanom je na jugu preko ožine Bab - el - Mandeb in Adenskega zaliva .
Ahilova peta	ahilovo peto	1	6	In v nekem trenutku našel njegovo ahilovo peto , ki je dotlej ni zaznal noben njegov nasprotnik .
Ahilova peta	ahilovo peto	1	6	Vsak ima svojo šibko točko ali ahilovo peto .
Alžirija	Alžirijo	1	9	Islamisti se sicer skrivajo v gorah na meji z Alžirijo , kamor so jih pregnale francoske in malijske vojaške sile .
Alžirija	Alžirijo	1	20	Puščava pa omogoča tudi drugačne smučarske izzive : smučanje in deskanje po peščenih vzpetinah , predvsem v bližini meje z Alžirijo .
Amazonka	Amazonke	1	4	Močna erozija bregov pritoka Amazonke v perujskem deževnem gozdu nazorno prikazuje razdiralno moč tekoče vode .
Amazonka	Amazonke .	1	24	Poleg urbaniziranih območij in nekaj gorskih predelov pretežni del teh površin predstavlja največji deževni tropski gozd na svetu , ki se nahaja v porečju Amazonke .
Amazonka	Amazonk	2	6	Nato si je skozi celo vojsko Amazonk utrl pot do svoje ladje , skočil na krov in takoj odplul .
Amazonka	Amazonka	2	1	Bojevita Amazonka je izhajala iz grške mitologije .
Amazonka	Amazonk	2	9	Boginja Hera se je bila preoblekla v eno izmed Amazonk , da bi lahko oprezala za Heraklejem .
Amazonka	Amazonke	3	9	Ženske so rade lepe , v nasprotnem primeru so Amazonke , možače , ki želijo biti podobne moškim .
Amazonka	Amazonke	3	3	Danes označujemo za Amazonke ženske , ki so se enostransko poistovetile z arhetipom bojevnice .
Amazonka	Amazonk	3	15	Vrnimo se h genetsko pogojeni prerokbi o propadu moškega spola , v bodoči svet novih Amazonk .
Amazonka	Amazonka	3	14	Dokler ni v bondiadi Dr . No iz leta 1962 iz morja prilezla sodobna Amazonka Ursula Andress v belih bikinkah , z nožem , zataknjenim za pas .
Amazonke	Amazonkami	1	46	Na izklesanih površinah , delu največjih kiparjev prejšnje generacije so bili prikazani prizori iz Grki in grške mitologije , ki je že davno postala del domače kulture , zlasti zgodbe , ki so se že po izročilu dogajale v Aziji , kot na primer boji med Amazonkami .
Amazonke	Amazonkami	1	7	Sledijo ilustracije zgodbe od Tezejeve zmage nad Amazonkami in slavnostne vrnitve v Atene .
Amazonke	Amazonk	1	3	Hipolita je kraljica Amazonk in Dianina mati .
Amazonke	Amazonke	1	18	Heraklej je moral ubogati Evristejeve zahteve in se je takoj odpravil proti reki Termodont , kjer so živele Amazonke .
Amerika	Ameriki	1	1	V Ameriki si mladostniki filma ne smejo ogledati brez spremstva staršev .
Amerika	Ameriko	1	9	Ameriška vlada ga je povabila , naj pride v Ameriko na vojno akademijo za profesorja .
Amerika	Ameriki	1	18	Nekaterih najboljših slovenskih plavalcev pred odhodom v Montreal nismo srečali , ker živijo , študirajo in trenirajo v Ameriki .
Amerika	Ameriko	2	10	V šoli nas najprej naučijo , da je Kolumb odkril Ameriko .
Amerika	Amerika	3	12	Marsikatera delavka mi je povedala , da je bila to zanjo prava Amerika , ker ji ni bilo treba takoj po službi za štedilnik .
Andi	Andih	1	9	Toda kraj sredi poledenele pokrajine gorskih vrhov v perujskih Andih verjetno nikoli ne bo res prava turistična znamenitost .
Andromedina galaksija	Andromedina	1	3	Poleg naše je Andromedina galaksija edina spiralna galaksija , ki jo lahko vidimo brez teleskopa , seveda pa je v Vesolju razmetanih nešteto medlejših galaksij .
Anglija	Anglija	2	9	Francija in Nemčija imata svoje stališče , Amerika in Anglija pa svoje .
Anglija	Anglija	2	2	Amerika in Anglija nista postali proletarski deželi .
Anglija	Anglija	2	5	A medtem ko Amerika in Anglija znižujeta obrestne mere , ECB s tem ukrepom še okleva , saj je zanjo stabilnost cen kljub vsemu prva zapoved .
Anglija	Angliji	2	8	Zunanje preverjanje znanja je v osnovno šolo v Angliji vpeljala Margaret Thatcher .
Anscombeov kvartet	Anscombeov kvartet	1	5	[ELEXIS - WSD - SL] Anscombeov kvartet je zbirka štirih naborov izmišljenih podatkov , med katerimi osnovne statistične metode ne pokažejo praktično nobenih razlik , izgleda pa vsak zelo drugače , ko jih predstavimo grafično .
Antigva in Barbuda	Antigva in Barbuda	1	15	A najprej bo , tako kot orkan Irma , tudi ta orkan udaril po otočkih Antigva in Barbuda .
Ariadnina nit	Ariadnina nit	1	12	In zagotovo to ni bilo avtorjevo Sizifovo delo , saj nas kot Ariadnina nit vodi iz labirinta nevednosti .
Ariadnina nit	Ariadnina nit	2	6	V globino vodi tanka vrvica , Ariadnina nit , ki potapljaču omogoča , da se na gladino vrne po poti , po kateri se je spuščal v globino .
Atlas	Atlas	1	2	V gorovju Atlas se je snežna meja spustila na 1500 metrov .
Atlas	Atlasa	1	6	Vodo , ki priteče z zasneženega Atlasa , uporabljajo za namakanje .
Atlas	Atlas	2	5	Telo je imel močno kot Atlas , duha pa ne .
Atlas	Atlasa	2	8	Starogrške legende pravijo , da so Plejade hčere Atlasa .
Atlas	Atlas	2	12	Je zelo ponosna oseba in misli , da lahko - tako kot Atlas - na svojih ramenih nositi cel svet .
Atlas	Atlas	3	0	Atlas ima približno okroglo obliko in povprečni premer 30 km .
Atlas	Atlas	3	15	Med opazovanji obroča F so odkrili tudi nov obroč , ki je povezan z luno Atlas .
Atlas	Atlas	3	6	V Saturnovem sistemu je tak satelit Atlas , ki kroži v bližini zunanjega roba obroča A .
Atlas	Atlas	4	1	Kralj Atlas je vladal v glavnem mestu Atlantidi .
Atlas	Atlasa	4	12	Predvsem so zanimivi opisi o razvoju atlantidske civilizacije pod modrim vodstvom kralja Atlasa .
Atlas	Atlas	4	5	Kralj vseh kraljev , imenovan Atlas , je vladal iz glavnega mesta , ki naj bi se prav tako imenovalo Atlantida .
Babilon	Babilon	1	16	Nebukadnezar II . je bil torej tisti , ki je Mezopotamijo dokončno postavil na noge , Babilon pa naredil za najslavnejšo prestolnico antičnega sveta .
Babilon	Babilon	1	0	Babilon je bil eno najmogočnejših mest svojega časa .
Babilon	Babilon	1	16	Med pomembnimi mezopotamskimi umetniškimi in kulturnimi središči so bila mesta Ur , Uruk , Lagaš in Babilon .
Babilon	Babilon	2	12	Avtocesta Trst–Benetke na ozemlju , kjer živijo Slovenci , je pravi jezikovni Babilon .
Babilon	Babilon	2	7	Dubaj je mešanica 130 narodnosti in jezikovni Babilon .
Babilon	Babilon	2	8	Ne le , da imamo namesto enega jezika Babilon 7 . 000 jezikov , ampak se ti jeziki tudi po sintaksi in semantiki med seboj pomembno razlikujejo .
Babilon	Babilon	2	0	Babilon jezikov je dandanes najlaže najti na letališčih .
Babilon	Babilon	2	15	Že dandanašnji je Slovenija miniaturna Jugoslavija ali pa še celo več - je že pravi Babilon !
Babilon	Babilon	2	3	Križarke so pravi Babilon ne le zaradi kulinarične in ponudbe zabave z vseh koncev sveta , pač pa tudi zaradi posadke .
Babilon	Babilon	2	18	Stavba stoji sredi Ljubljane . Danes v njej domuje Slovensko mladinsko gledališče , pa še marsikaj . Resnični Babilon dogajanja .
Bezierova krivulja	Bézierove krivulje	1	5	[ELEXIS - WSD - SL] Bézierove krivulje je leta 1962 prvič opisal francoski inženir Pierre Etienne Bézier , ki jih je uporabil pri oblikovanju avtomobilske karoserije .
Bik	Bik	1	11	Svetloba , ki prihaja iz Plejad , kupa zvezd iz ozvezdja Bik , je stara kar 380 let , preden prispe na zemljo .
Bik	Bik	1	1	Ozvezdje Bik - Taurus je pri nas zvečer vidno od novembra do marca .
Bik	Bik	1	2	V ozvezdju Bik je blizu glavne zvezde Aldebaran s prostim očesom lepo vidna zvezdna kopica , imenovana Hiade .
Bik	Bika	1	9	Saturn bo 9 . avgusta kot zadnji zapustil ozvezdje Bika in prešel v ozvezdje Dvojčkov .
Bik	Bika	1	4	Rakova meglica v ozvezdju Bika je ostanek supernove , ki so jo opazili leta 1054 .
Bik	Biku	2	4	Moški s Soncem v Biku so ponavadi razumni , preudarni in hladnokrvni .
Bik	Biku	2	6	Zaradi prvih dnevov vladavine Sonca v Biku boste polni optimizma in ustvarjalne energije , ki bo segala na vsa življenjska področja .
Bik	Biku	2	3	Vpliv Sonca v Biku bo prinesel željo po izkazovanju nežnosti .
Bik	Biku	2	2	Luna v Biku prinaša umirjenost .
Bik	Biku	2	2	Luna v Biku vam pridaja šarm , zaradi česar pa strastnost vašega Sončevega znamenja ni prav nič manjša .
Bik	Bika	2	7	Po sončnem horoskopu ima Luno v znamenju Bika .
